|¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯|
X185PC weights:
(CF: 22990[0] - FG: SG11224): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 31.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 155000000000000.00 

(CF: 22441[0] - FG: SG21012): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 37.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 185000000000000.00 

(CF: 22530[0] - FG: SG21703): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 34.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 170000000000000.00 

(CF: 23066[0] - FG: 5004D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 23040[0] - FG: 803545): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 50.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 39062500000.00 

(CF: 22531[0] - FG: SG21806): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22525[0] - FG: SG21244): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 52.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 260000000000000.00 

(CF: 51047[0] - FG: 51047-2): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 28.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 140000000000000.00 

(CF: 22934[0] - FG: SG11015): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22727[0] - FG: 6165830A): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 41.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 32031250000.00 

(CF: 22907[0] - FG: SG16324): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 32.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 160000000000000.00 

(CF: 22885[0] - FG: SG15012): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 38.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 190000000000000.00 

(CF: 22726[0] - FG: 6165881A): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 41.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 32031250000.00 

(CF: 22829[0] - FG: 6165285A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 43.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 215000000000000.00 

(CF: 22952[0] - FG: 5287616): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 29.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 145000000000000.00 

(CF: 22736[0] - FG: 6175631): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 45.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 35156250000.00 

(CF: 22884[0] - FG: SG18024): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 38.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 190000000000000.00 

(CF: 22804[0] - FG: JKCHSPEG304): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22794[0] - FG: 3023217): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 29.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 145000000000000.00 

(CF: 22525[0] - FG: SG21206): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 31.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 155000000000000.00 

(CF: 22831[0] - FG: 6165297): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 47.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 36718750000.00 

